2022-03-24 09:57:15,B,NA,,,,,,,,,,,,,,,,,,,,
2022-03-24 09:57:43,SIT,1,6,2,Scope,9,CMP peaks,Vessel,3,1,2,MarMam,Humpback,Active,Sleep,Sleep,N,TRUE,0,Cannot hear,,
2022-03-24 09:58:17,E,NA,,,,,,,,,,,,,,,,,,,,
2022-03-24 09:58:49,B,NA,,,,,,,,,,,,,,,,,,,,
2022-03-24 09:59:38,UPD,1,359,0.2,Big Eyes,2,Janie,0,0,0,Mixed,Dalls porpoise,89,Fin,79,Active,Sleep,Feeding,W,TRUE,Cannot hear,
2022-03-24 10:04:06,E,NA,,,,,,,,,,,,,,,,,,,,
2022-03-24 10:11:49,B,NA,,,,,,,,,,,,,,,,,,,,
2022-03-24 10:12:04,E,NA,,,,,,,,,,,,,,,,,,,,
2022-03-24 10:19:44,B,NA,,,,,,,,,,,,,,,,,,,,
2022-03-24 10:19:54,E,NA,,,,,,,,,,,,,,,,,,,,
2022-03-24 10:20:31,B,NA,,,,,,,,,,,,,,,,,,,,
2022-03-24 10:23:06,EFF,1,Outside,Janie,None,None,None,,,,,,,,,,,,,,,
2022-03-24 10:23:39,SEA,20,359,2,30,1,0.5,30,Clear,None,Mild,None,Mild,180,220,,,,,,,
2022-03-24 10:24:30,SIT,2,20,0.23,Big Eyes,2.1,Gil Mtn,Blow,30,10,22,MarMam,Dalls porpoise,Active,N/A,N/A,NE,FALSE,1,N/A,Cannot hear,
2022-03-24 10:25:22,UPD,2,245,0.25,Big Eyes,2.4,Janie,Unchanged,0,0,0,Mixed,Harbour seal,44,N/A,99,Active,N/A,N/A,N/A,FALSE,N/A
2022-03-24 10:25:34,COM,2,Photo-ID acquired.,,,,,,,,,,,,,,,,,,,
2022-03-24 10:47:40,E,
